algorithm,mean_total_reward,std_total_reward,mean_total_return_pct,std_total_return_pct,mean_win_rate,mean_trades,ci95_total_return_pct
DQN,0.23379882337312058,0.061625975486277365,21.678188135605428,7.617470730240809,60.9375,31.4,6.677007488817897
Q-Learning,0.4557795420572196,0.12017231912851647,50.35969576188293,18.16224790632536,62.1875,32.6,15.919912209556719
SARSA,0.41470198703001665,0.11586444136736865,45.19484352905893,16.974560253291987,62.5,32.8,14.878858080894556
