trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,005490,-1991946250,0,-0.007207116228762772,344000,341500,0
2026-02-02,005710,-25662240,0,-0.01006842984246221,12970,12720,0
2026-02-02,005810,16351050,1,0.002911752721450381,40850,38950,0
2026-02-02,005830,298160700,1,0.003049861185407148,144900,140900,0
2026-02-02,005850,-1241667750,0,-0.05053332194702594,54100,52900,0
2026-02-02,005880,352643585,1,0.05521124266410158,1937,1979,0
2026-02-02,005930,-17477487350,0,-0.0019630710414563607,155700,150400,0
2026-02-02,005935,1458155000,1,0.0016230791478434848,115000,110100,0
2026-02-02,005940,-181072350,0,-0.0020204320459038046,26950,25150,0
2026-02-02,005945,1543500,1,0.0003769230717685734,22850,21700,0
2026-02-02,006040,-1201900,0,-6.755420584746578e-05,41600,40300,0
2026-02-02,006120,-65924500,0,-0.006629217356426034,56900,54200,0
2026-02-02,006220,371284600,1,0.057611254508737705,14500,17050,0
2026-02-02,006260,-3940241200,0,-0.06319157582765472,218500,196700,0
2026-02-02,006280,-20243000,0,-0.001105401381664444,164000,156700,0
2026-02-02,006360,-463590180,0,-0.029600789518050546,18640,18300,0
2026-02-02,006400,-5022927250,0,-0.017508535599213865,380000,356000,0
2026-02-02,006405,306417200,1,0.09727395790969634,205500,194700,0
2026-02-02,006650,-140429250,0,-0.014617388362652233,152300,147800,0
2026-02-02,006730,-59337890,0,-0.005255423222265073,18410,17390,0
2026-02-02,006800,1991942800,1,0.008770525604621228,43100,40050,0
2026-02-02,007070,784442125,1,0.04226327396422418,22250,22200,0
2026-02-02,007160,51571600,1,0.017481898305084745,59000,59000,0
2026-02-02,007310,337649500,1,0.022228881423715978,387000,379000,0
2026-02-02,007340,-314418825,0,-0.022205300553584478,25100,24200,0
2026-02-02,007390,25500,1,1.6152951376819044e-06,24400,24500,0
2026-02-02,007660,-1151847700,0,-0.014186959496688393,114500,110600,0
2026-02-02,007810,143341850,1,0.009452447538916983,67400,64200,0
2026-02-02,007820,-29248800,0,-0.025171758732523974,6010,5800,0
2026-02-02,007860,86294070,1,0.034803412372834255,10610,10560,0
